chauffeur_id,nom_complet,localite,anciennete_annees,date_permis,_aggressivite_latente
CH-001,Abdoulaye Faye,Bureau National,3,2019-07-01,0.416
CH-002,Serigne Ndiaye,Bureau National,3,2015-04-01,0.353
CH-003,Abdoulaye Ndiaye,Zone Centre,1,2006-11-01,0.679
CH-004,Moussa Ba,Bureau National,3,2018-12-01,0.135
CH-005,Serigne Mbaye,Bureau National,4,2007-05-01,0.1
CH-006,Serigne Diop,Bureau National,6,1997-02-01,0.595
CH-007,Mamadou Ndiaye,Bureau National,3,2005-06-01,0.284
CH-008,Moussa Diop,Bureau National,21,2004-10-01,0.061
CH-009,Modou Ba,Bureau National,10,2001-11-01,0.097
CH-010,Omar Faye,Zone Sud,13,2003-01-01,0.328
CH-011,Alioune Ba,Bureau National,11,1996-03-01,0.439
CH-012,Babacar Kane,Zone Sud,10,2014-09-01,0.513
CH-013,Ousmane Mbaye,Zone Sud,19,2007-07-01,0.158
CH-014,Cheikh Faye,Bureau National,8,1999-05-01,0.48
CH-015,Cheikh Ba,Zone Centre,16,2015-05-01,0.475
CH-016,Ibrahima Ndiaye,Zone Centre,13,2017-10-01,0.025
CH-017,Mamadou Ba,Zone Centre,5,2007-04-01,0.662
CH-018,Moussa Thiam,Bureau National,7,1999-05-01,0.224
CH-019,Pape Sy,Bureau National,7,2011-05-01,0.397
CH-020,Ibrahima Diop,Bureau National,4,2004-07-01,0.362
CH-021,Abdoulaye Kane,Zone Centre,1,2002-02-01,0.238
CH-022,Lamine Kane,Zone Sud,12,2018-12-01,0.367
CH-023,Cheikh Kane,Zone Centre,14,1995-03-01,0.459
CH-024,Babacar Faye,Zone Centre,14,2016-01-01,0.782
CH-025,Lamine Mbaye,Zone Sud,9,2007-05-01,0.441
CH-026,Abdoulaye Gueye,Zone Centre,11,2008-01-01,0.42
CH-027,Babacar Diop,Bureau National,2,2016-04-01,0.711
CH-028,Lamine Ba,Zone Sud,12,2011-02-01,0.119
CH-029,Ibrahima Gueye,Bureau National,19,2019-06-01,0.286
CH-030,Cheikh Faye,Bureau National,1,2009-08-01,0.713
CH-031,Ousmane Thiam,Zone Centre,4,2003-01-01,0.346
CH-032,Assane Mbaye,Zone Sud,12,2010-01-01,0.641
CH-033,Cheikh Thiam,Bureau National,1,1995-01-01,0.3
CH-034,Idrissa Cissé,Zone Centre,16,1997-10-01,0.656
CH-035,Lamine Faye,Bureau National,11,2006-10-01,0.218
CH-036,Serigne Faye,Bureau National,20,1999-12-01,0.508
CH-037,Souleymane Gueye,Bureau National,12,2012-03-01,0.373
CH-038,Babacar Ba,Zone Sud,13,2019-01-01,0.254
CH-039,Cheikh Cissé,Zone Sud,16,2013-05-01,0.052
CH-040,Alioune Sarr,Bureau National,14,2019-09-01,0.371
CH-041,Modou Sow,Bureau National,11,2018-08-01,0.175
CH-042,Babacar Diop,Bureau National,12,2015-10-01,0.508
CH-043,Idrissa Gueye,Bureau National,21,2005-09-01,0.156
CH-044,Ousmane Kane,Zone Centre,1,1995-06-01,0.217
CH-045,Babacar Sarr,Zone Centre,18,1998-03-01,0.393
CH-046,Abdoulaye Ndiaye,Zone Centre,7,2011-06-01,0.319
CH-047,Modou Thiam,Bureau National,14,2008-04-01,0.295
CH-048,Moussa Gueye,Zone Centre,20,2007-08-01,0.259
CH-049,Souleymane Fall,Bureau National,7,2019-04-01,0.33
CH-050,Idrissa Fall,Bureau National,17,2019-02-01,0.417
CH-051,Ibrahima Mbaye,Zone Sud,9,2001-09-01,0.195
CH-052,Babacar Sarr,Zone Sud,16,2004-11-01,0.464
CH-053,Alioune Ba,Zone Sud,10,2015-01-01,0.086
CH-054,Moussa Gueye,Zone Sud,19,2013-11-01,0.549
CH-055,Mamadou Gueye,Zone Centre,21,2000-06-01,0.373
CH-056,Souleymane Sow,Zone Sud,5,2003-08-01,0.636
CH-057,Pape Sy,Zone Centre,10,2004-05-01,0.163
CH-058,Ibrahima Cissé,Bureau National,10,1998-11-01,0.335
CH-059,Souleymane Sarr,Bureau National,4,1999-03-01,0.422
CH-060,Ousmane Ba,Bureau National,2,2009-10-01,0.463
CH-061,Babacar Diop,Bureau National,3,2015-08-01,0.12
CH-062,Ibrahima Sow,Bureau National,6,2005-11-01,0.681
CH-063,Idrissa Ba,Zone Centre,19,1997-07-01,0.423
CH-064,Ibrahima Faye,Zone Sud,19,2001-09-01,0.676
CH-065,Omar Diallo,Zone Centre,3,2009-11-01,0.064
CH-066,Moussa Cissé,Bureau National,19,2004-04-01,0.288
CH-067,Mamadou Fall,Zone Sud,21,2005-09-01,0.686
CH-068,Modou Sy,Bureau National,1,2000-08-01,0.408
CH-069,Abdoulaye Ba,Bureau National,13,1996-06-01,0.602
CH-070,Mamadou Ndiaye,Bureau National,4,2011-04-01,0.05
CH-071,Ibrahima Cissé,Bureau National,21,2019-07-01,0.561
CH-072,Idrissa Mbaye,Bureau National,20,2009-06-01,0.164
CH-073,Babacar Mbaye,Zone Sud,17,2014-11-01,0.552
CH-074,Omar Fall,Zone Sud,20,2006-07-01,0.129
CH-075,Modou Cissé,Zone Centre,21,2014-10-01,0.421
CH-076,Modou Diop,Bureau National,2,1997-09-01,0.442
CH-077,Lamine Ndiaye,Zone Sud,16,2007-10-01,0.322
CH-078,Modou Sow,Zone Centre,6,1995-12-01,0.659
CH-079,Moussa Sow,Bureau National,17,1996-06-01,0.678
CH-080,Idrissa Sy,Zone Centre,20,2004-12-01,0.316
CH-081,Modou Sy,Zone Centre,13,1996-10-01,0.361
CH-082,Idrissa Diallo,Zone Centre,5,2003-07-01,0.043
CH-083,Pape Sy,Bureau National,1,2000-09-01,0.198
CH-084,Moussa Gueye,Zone Centre,14,2007-10-01,0.265
CH-085,Ousmane Ba,Bureau National,11,1999-04-01,0.47
CH-086,Mamadou Sow,Bureau National,17,2018-07-01,0.441
CH-087,Abdoulaye Diallo,Bureau National,21,2005-01-01,0.325
CH-088,Abdoulaye Ndiaye,Zone Sud,12,2008-01-01,0.541
CH-089,Idrissa Kane,Bureau National,14,2010-08-01,0.67
CH-090,Modou Ndiaye,Bureau National,10,2012-09-01,0.896
CH-091,Lamine Sarr,Bureau National,11,2011-01-01,0.345
CH-092,Pape Ndiaye,Zone Sud,6,2008-06-01,0.299
CH-093,Abdoulaye Sow,Zone Centre,8,2015-02-01,0.431
CH-094,Modou Thiam,Zone Sud,15,1995-05-01,0.7
CH-095,Ibrahima Sarr,Bureau National,15,2006-02-01,0.174
CH-096,Moussa Fall,Bureau National,21,1998-01-01,0.245
